Column1,Column2
18_em_0,x _ { k } x x _ { k } + y _ { k } y x _ { k }
18_em_10,2 6
18_em_11,q _ { t } = 2 q
18_em_12,\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } }
18_em_13,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 }
18_em_14,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } }
18_em_15,k = 1 0 0 0 0 0 0 0 0 0
18_em_16,m \geq 2
18_em_17,u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) }
18_em_18,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 }
18_em_19,y \neq x
18_em_1,\sqrt { 4 8 }
18_em_20,\frac { 1 } { p } + \frac { 1 } { q } = 1
18_em_21,1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 }
18_em_22,p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } }
18_em_23,\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 }
18_em_24,\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 }
18_em_2,C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0
18_em_3,"q _ { 1 } , q _ { 2 } , \ldots , q _ { m }"
18_em_4,e ^ { - n }
18_em_5,\int g = \lim _ { n \rightarrow \infty } \int g _ { n }
18_em_6,g ( b ) - g ( a ) = b - a
18_em_7,\sin ^ { 2 } \theta
18_em_8,x _ { L L L } \leq x _ { L L }
18_em_9,\frac { a } { b + \sqrt { c } }
20_em_25,\sin ( x + y ) = \sin x \cos y + \cos x \sin y
20_em_26,\frac { 9 } { 9 + \sqrt { 9 } }
20_em_27,R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } }
20_em_28,1 . 3 7 9 1 9 4 1 7 1
20_em_29,"( - \infty , \infty )"
20_em_30,I _ { S }
20_em_31,X X ^ { - 1 } = X ^ { - 1 } X = I
20_em_32,\frac { \pi } { 3 }
20_em_33,R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } }
20_em_34,\sin ( a + b )
20_em_35,\mu \geq 0
20_em_36,e _ { 5 } - 5 e _ { 4 }
